Target,Model,Train_R2,Test_R2,Overfit_Gap
Credit_Risk_Score,Baseline RF,0.879976251372118,0.5338020499966901,0.34617420137542787
Credit_Risk_Score,Regularized RF,0.6476471434977208,0.4975119954455878,0.15013514805213302
Credit_Risk_Score,XGBoost,0.7602625934715158,0.5213652326733335,0.23889736079818236
Credit_Risk_Score,Feature Selected RF,0.7967759776438159,0.5332509056197438,0.26352507202407216
Liquidity_Ratio,Baseline RF,0.920085891158576,0.7873962016783205,0.1326896894802555
Liquidity_Ratio,Regularized RF,0.8014693998451268,0.7426003102021841,0.058869089642942685
Liquidity_Ratio,XGBoost,0.8916920475826932,0.7792143619311174,0.11247768565157579
Liquidity_Ratio,Feature Selected RF,0.8758696220254558,0.7903560967283458,0.08551352529710998
Market_Volatility_Exposure,Baseline RF,0.7525484368931314,0.2981327645879046,0.45441567230522684
Market_Volatility_Exposure,Regularized RF,0.44343555754737307,0.2789054857442135,0.1645300718031596
Market_Volatility_Exposure,XGBoost,0.6064162259788533,0.29153183807546434,0.3148843879033889
Market_Volatility_Exposure,Feature Selected RF,0.5991679115672024,0.30105516168954416,0.29811274987765823
